REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
FERCAL,2019,JUN,2
FERCAL,2019,JUL,8
FERCAL,2019,AGO,5
FERCAL,2019,SET,1
FERCAL,2019,OUT,3
FERCAL,2019,NOV,3
FERCAL,2019,DEZ,2
GAMA,2019,JAN,151
GAMA,2019,FEV,149
GAMA,2019,MAR,162
GAMA,2019,ABR,143
GAMA,2019,MAI,158
GAMA,2019,JUN,136
GAMA,2019,JUL,152
GAMA,2019,AGO,162
GAMA,2019,SET,126
GAMA,2019,OUT,117
GAMA,2019,NOV,126
GAMA,2019,DEZ,109
GUARA,2019,JAN,73
GUARA,2019,FEV,37
GUARA,2019,MAR,57
GUARA,2019,ABR,55
GUARA,2019,MAI,69
GUARA,2019,JUN,59
GUARA,2019,JUL,65
GUARA,2019,AGO,81
GUARA,2019,SET,89
GUARA,2019,OUT,76
GUARA,2019,NOV,78
GUARA,2019,DEZ,35
ITAPOA,2019,JAN,68
ITAPOA,2019,FEV,59
ITAPOA,2019,MAR,47
ITAPOA,2019,ABR,53
ITAPOA,2019,MAI,93
ITAPOA,2019,JUN,64
ITAPOA,2019,JUL,56
ITAPOA,2019,AGO,71
ITAPOA,2019,SET,89
ITAPOA,2019,OUT,59
ITAPOA,2019,NOV,71
ITAPOA,2019,DEZ,74
JARDIM BOTANICO,2019,JAN,68
JARDIM BOTANICO,2019,FEV,59
JARDIM BOTANICO,2019,MAR,47
JARDIM BOTANICO,2019,ABR,53
JARDIM BOTANICO,2019,MAI,93
JARDIM BOTANICO,2019,JUN,64
JARDIM BOTANICO,2019,JUL,56
JARDIM BOTANICO,2019,AGO,71
JARDIM BOTANICO,2019,SET,89
JARDIM BOTANICO,2019,OUT,59
JARDIM BOTANICO,2019,NOV,71
JARDIM BOTANICO,2019,DEZ,74
LAGO SUL,2019,JAN,5
LAGO SUL,2019,FEV,1
LAGO SUL,2019,MAR,4
LAGO SUL,2019,ABR,5
LAGO SUL,2019,MAI,2
LAGO SUL,2019,JUN,2
LAGO SUL,2019,JUL,1
LAGO SUL,2019,AGO,1
LAGO SUL,2019,SET,3
LAGO SUL,2019,OUT,5
LAGO SUL,2019,NOV,1
LAGO SUL,2019,DEZ,2
LAGO NORTE,2019,JAN,3
LAGO NORTE,2019,FEV,6
LAGO NORTE,2019,MAR,6
LAGO NORTE,2019,ABR,6
LAGO NORTE,2019,MAI,10
LAGO NORTE,2019,JUN,10
LAGO NORTE,2019,JUL,7
LAGO NORTE,2019,AGO,6
LAGO NORTE,2019,SET,13
LAGO NORTE,2019,OUT,2
LAGO NORTE,2019,NOV,5
LAGO NORTE,2019,DEZ,15
NUCLEO BANDEIRANTE,2019,JAN,11
NUCLEO BANDEIRANTE,2019,FEV,15
NUCLEO BANDEIRANTE,2019,MAR,14
NUCLEO BANDEIRANTE,2019,ABR,18
NUCLEO BANDEIRANTE,2019,MAI,32
NUCLEO BANDEIRANTE,2019,JUN,16
NUCLEO BANDEIRANTE,2019,JUL,15
NUCLEO BANDEIRANTE,2019,AGO,18
NUCLEO BANDEIRANTE,2019,SET,27
NUCLEO BANDEIRANTE,2019,OUT,13
NUCLEO BANDEIRANTE,2019,NOV,12
NUCLEO BANDEIRANTE,2019,DEZ,10
PARANOA,2019,JAN,73
PARANOA,2019,FEV,51
PARANOA,2019,MAR,68
PARANOA,2019,ABR,93
PARANOA,2019,MAI,66
PARANOA,2019,JUN,64
PARANOA,2019,JUL,74
